month,adoption,license_cost,training_cost,change_mgmt_cost,admin_time_savings,productivity_uplift_value,monthly_benefit,monthly_cost,net_benefit
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,6346.153846153847,5000.0,0.0,0.0,0.0,11346.153846153848,-11346.153846153848
3,0.3333333333333333,300.0,0.0,0.0,4812.499999999999,3208.333333333333,8020.833333333332,300.0,7720.833333333332
4,0.6666666666666666,600.0,0.0,0.0,9624.999999999998,6416.666666666666,16041.666666666664,600.0,15441.666666666664
5,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
6,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
7,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
8,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
9,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
10,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
11,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
12,1.0,900.0,0.0,0.0,14437.499999999998,9624.999999999998,24062.499999999996,900.0,23162.499999999996
