month,adoption,license_cost,training_cost,change_mgmt_cost,admin_time_savings,productivity_uplift_value,monthly_benefit,monthly_cost,net_benefit
1,0.0,0.0,4326.923076923076,5000.0,0.0,0.0,0.0,9326.923076923076,-9326.923076923076
2,0.3333333333333333,249.99999999999997,0.0,0.0,4374.999999999999,2437.5,6812.499999999999,249.99999999999997,6562.499999999999
3,0.6666666666666666,499.99999999999994,0.0,0.0,8749.999999999998,4875.0,13624.999999999998,499.99999999999994,13124.999999999998
4,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
5,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
6,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
7,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
8,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
9,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
10,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
11,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
12,1.0,750.0,0.0,0.0,13124.999999999998,7312.5,20437.5,750.0,19687.5
