month,adoption,license_cost,training_cost,change_mgmt_cost,admin_time_savings,productivity_uplift_value,monthly_benefit,monthly_cost,net_benefit
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,7384.615384615385,5000.0,0.0,0.0,0.0,12384.615384615385,-12384.615384615385
3,0.25,240.0,0.0,0.0,3750.0,3000.0,6750.0,240.0,6510.0
4,0.5,480.0,0.0,0.0,7500.0,6000.0,13500.0,480.0,13020.0
5,0.75,720.0,0.0,0.0,11250.0,9000.0,20250.0,720.0,19530.0
6,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
7,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
8,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
9,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
10,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
11,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
12,1.0,960.0,0.0,0.0,15000.0,12000.0,27000.0,960.0,26040.0
