month,adoption,license_cost,training_cost,change_mgmt_cost,admin_time_savings,productivity_uplift_value,monthly_benefit,monthly_cost,net_benefit
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,3846.1538461538466,5000.0,0.0,0.0,0.0,8846.153846153848,-8846.153846153848
4,0.3333333333333333,199.99999999999997,0.0,0.0,3888.8888888888887,1666.6666666666665,5555.555555555555,199.99999999999997,5355.555555555555
5,0.6666666666666666,399.99999999999994,0.0,0.0,7777.777777777777,3333.333333333333,11111.11111111111,399.99999999999994,10711.11111111111
6,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
7,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
8,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
9,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
10,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
11,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
12,1.0,600.0,0.0,0.0,11666.666666666666,5000.0,16666.666666666664,600.0,16066.666666666664
