month,adoption,license_cost,training_cost,change_mgmt_cost,admin_time_savings,productivity_uplift_value,monthly_benefit,monthly_cost,net_benefit
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,6153.846153846153,5000.0,0.0,0.0,0.0,11153.846153846152,-11153.846153846152
4,0.25,300.0,0.0,0.0,3333.3333333333335,3200.0,6533.333333333334,300.0,6233.333333333334
5,0.5,600.0,0.0,0.0,6666.666666666667,6400.0,13066.666666666668,600.0,12466.666666666668
6,0.75,900.0,0.0,0.0,10000.000000000002,9600.000000000002,19600.000000000004,900.0,18700.000000000004
7,1.0,1200.0,0.0,0.0,13333.333333333334,12800.0,26133.333333333336,1200.0,24933.333333333336
8,1.0,1200.0,0.0,0.0,13333.333333333334,12800.0,26133.333333333336,1200.0,24933.333333333336
9,1.0,1200.0,0.0,0.0,13333.333333333334,12800.0,26133.333333333336,1200.0,24933.333333333336
10,1.0,1200.0,0.0,0.0,13333.333333333334,12800.0,26133.333333333336,1200.0,24933.333333333336
11,1.0,1200.0,0.0,0.0,13333.333333333334,12800.0,26133.333333333336,1200.0,24933.333333333336
12,1.0,1200.0,0.0,0.0,13333.333333333334,12800.0,26133.333333333336,1200.0,24933.333333333336
