month,license_cost,training_cost,change_mgmt_cost,admin_time_savings,productivity_uplift_value,monthly_benefit,monthly_cost,net_benefit,org_fixed_cost,discount_factor
1,0.0,4326.923076923076,5000.0,0.0,0.0,0.0,59326.92307692308,-59326.92307692308,50000.0,1.0
2,249.99999999999997,13730.76923076923,10000.0,4374.999999999999,2437.5,6812.499999999999,23980.769230769234,-17168.269230769234,0.0,0.992088943446991
3,1040.0,10000.0,10000.0,17312.499999999996,11083.333333333332,28395.83333333333,21040.0,7355.8333333333285,0.0,0.9842404717097668
4,2330.0,0.0,0.0,37472.22222222222,24595.833333333332,62068.055555555555,2330.0,59738.055555555555,0.0,0.9764540896763105
5,3370.0,0.0,0.0,53256.94444444444,35670.833333333336,88927.77777777778,3370.0,85557.77777777778,0.0,0.9687293061514642
6,4110.0,0.0,0.0,64229.166666666664,43537.5,107766.66666666666,4110.0,103656.66666666666,0.0,0.9610656338259427
7,4410.0,0.0,0.0,67562.5,46737.5,114300.0,4410.0,109890.0,0.0,0.9534625892455922
8,4410.0,0.0,0.0,67562.5,46737.5,114300.0,4410.0,109890.0,0.0,0.9459196927808918
9,4410.0,0.0,0.0,67562.5,46737.5,114300.0,4410.0,109890.0,0.0,0.9384364685966973
10,4410.0,0.0,0.0,67562.5,46737.5,114300.0,4410.0,109890.0,0.0,0.9310124446222227
11,4410.0,0.0,0.0,67562.5,46737.5,114300.0,4410.0,109890.0,0.0,0.923647152521261
12,4410.0,0.0,0.0,67562.5,46737.5,114300.0,4410.0,109890.0,0.0,0.9163401276626396
